species_type,species_name
gene,gene_Smad
gene,gene_Ecadherin
gene,gene_Bcatenin
gene,gene_PLCy
gene,gene_PKC
gene,gene_RAF
gene,gene_RAS
gene,gene_AP1_SP1
gene,gene_GSK3
gene,gene_tubulin
gene,gene_SNAIL_SLUG
gene,gene_Calcineurin
gene,gene_APC_AXIN
gene,gene_PI3K
mRNA,mRNA_Smad
mRNA,mRNA_Ecadherin
mRNA,mRNA_Bcatenin
mRNA,mRNA_PLCy
mRNA,mRNA_PKC
mRNA,mRNA_RAF
mRNA,mRNA_RAS
mRNA,mRNA_AP1_SP1
mRNA,mRNA_Calcineurin
mRNA,mRNA_SNAIL_SLUG
mRNA,mRNA_tubulin
mRNA,mRNA_APC_AXIN
mRNA,mRNA_GSK3
mRNA,mRNA_PI3K
protein,PLCy
protein,Active_PLCy
protein,Calcineurin
protein,Active_Calcineurin
protein,NFATc
protein,Active_NFATc
protein,PKC
protein,Active_PKC
protein,RAF
protein,RAF_P
protein,Smad
protein,pSmad
protein,PI3K
protein,PI3K_P
protein,GSK3
protein,GSK3_P
protein,RAS
protein,RAS_GTP
protein,MAPK
protein,pMAPK
protein,AP1_SP1
protein,AP1_SP1_P
protein,Ecadherin
protein,Bcatenin
protein,Ecadherin_Bcatenin
protein,APC_AXIN
protein,APC_AXIN_Bcatenin
protein,TCF4
protein,Active_TCF4
protein,LEF1
protein,Active_LEF1
reg,PPase
protein,YREG1
protein,SNAIL_SLUG
protein,vimentin
protein,tubulin
reg,RNAP
reg,RIBOSOME
protein,TGFB3_Ab
virus,ss_virus
virus,ecad_virus
protein,U0126
protein,vivit
gene,gene_TCF4
gene,gene_TGFB3
gene,gene_YREG1
gene,gene_LEF1
gene,gene_vimentin
gene,gene_R
gene,gene_VEGFR
gene,gene_NFATc
gene,gene_MAPK
mRNA,mRNA_TCF4
mRNA,mRNA_TGFB3
mRNA,mRNA_YREG1
mRNA,mRNA_LEF1
mRNA,mRNA_vimentin
mRNA,mRNA_R
mRNA,mRNA_VEGFR
mRNA,mRNA_NFATc
mRNA,mRNA_MAPK
protein,R
protein,TGFB12
protein,TGFB3
protein,VEGF
protein,TGFB12_R
protein,TGFB3_R
protein,VEGFR
protein,VEGF_VEGFR
